OrderID,Date,Time,Dish,Category,Quantity,Price,Total,PaymentType,City,Rating
25,2024-04-28,21:16:00,Fries,Fast Food,4,80,320,Online,Bhubaneswar,5
26,2020-10-27,16:47:00,Salad,Healthy,5,100,500,Cash,Berhampur,2
27,2024-02-06,16:54:00,Burger,Fast Food,2,350,700,Card,Cuttack,4
28,2022-10-10,16:07:00,Icecream,Dessert,1,70,70,Card,Bhubaneswar,5
29,2023-12-27,20:18:00,Salad,Healthy,3,100,300,Cash,Berhampur,3
30,2021-11-27,12:20:00,Icecream,Dessert,1,70,70,Cash,Bhubaneswar,5
31,2022-02-27,15:19:00,Pasta,Italian,4,250,1000,Online,Cuttack,5
32,2024-07-12,19:33:00,Fries,Fast Food,2,80,160,Cash,Berhampur,4
33,2024-04-10,12:12:00,Coke,Beverage,4,50,200,Online,Cuttack,3
34,2022-10-03,14:47:00,Pasta,Italian,2,250,500,Card,Bhubaneswar,5
35,2022-10-22,21:35:00,Pasta,Italian,4,250,1000,Online,Cuttack,2
36,2024-12-22,10:07:00,Sandwich,Fast Food,2,150,300,Card,Berhampur,3
37,2023-01-14,16:00:00,Sandwich,Fast Food,3,150,450,Online,Bhubaneswar,5
38,2023-08-11,21:09:00,Pasta,Italian,5,250,1250,Card,Cuttack,3
39,2023-12-17,16:57:00,Fries,Fast Food,2,80,160,Card,Bhubaneswar,2
40,2023-09-22,19:57:00,Pizza,Fast Food,4,120,480,Cash,Berhampur,3
41,2020-01-06,12:16:00,Icecream,Dessert,4,70,280,Card,Cuttack,2
42,2022-01-09,16:00:00,Coke,Beverage,1,50,50,Cash,Berhampur,3
43,2023-11-30,17:40:00,Coke,Beverage,3,50,150,Online,Cuttack,5
44,2023-12-14,21:28:00,Pasta,Italian,4,250,1000,Cash,Berhampur,1
45,2023-05-05,18:36:00,Sandwich,Fast Food,4,150,600,Online,Berhampur,1
46,2020-05-18,19:50:00,Icecream,Dessert,3,70,210,Online,Cuttack,4
47,2021-09-12,15:04:00,Pizza,Fast Food,4,120,480,Card,Berhampur,4
48,2021-05-12,12:14:00,Sandwich,Fast Food,2,150,300,Cash,Berhampur,5
49,2020-07-20,15:24:00,Fries,Fast Food,4,80,320,Cash,Berhampur,2
50,2023-02-07,17:31:00,Fries,Fast Food,4,80,320,Online,Bhubaneswar,2
51,2023-07-11,22:47:00,Burger,Fast Food,2,350,700,Online,Cuttack,3
52,2021-05-23,10:29:00,Fries,Fast Food,4,80,320,Cash,Cuttack,4
53,2022-02-24,21:53:00,Sandwich,Fast Food,2,150,300,Card,Cuttack,1
54,2022-10-03,19:13:00,Burger,Fast Food,4,350,1400,Cash,Bhubaneswar,4
55,2021-06-22,18:53:00,Sandwich,Fast Food,1,150,150,Card,Cuttack,2
56,2024-06-03,12:40:00,Coke,Beverage,5,50,250,Online,Cuttack,2
57,2020-08-12,14:01:00,Pasta,Italian,4,250,1000,Online,Berhampur,4
58,2023-01-09,12:16:00,Pasta,Italian,5,250,1250,Card,Berhampur,1
59,2021-02-19,17:32:00,Sandwich,Fast Food,4,150,600,Card,Cuttack,5
60,2022-11-14,17:46:00,Pasta,Italian,4,250,1000,Cash,Bhubaneswar,1
61,2023-03-01,22:16:00,Pasta,Italian,5,250,1250,Online,Cuttack,4
62,2020-07-11,13:48:00,Coke,Beverage,3,50,150,Card,Cuttack,3
63,2022-10-29,12:57:00,Fries,Fast Food,2,80,160,Card,Bhubaneswar,1
64,2024-01-15,15:06:00,Salad,Healthy,1,100,100,Card,Berhampur,3
65,2022-04-10,17:13:00,Salad,Healthy,1,100,100,Card,Bhubaneswar,2
66,2023-02-18,19:32:00,Icecream,Dessert,5,70,350,Card,Berhampur,3
67,2022-08-19,16:04:00,Pizza,Fast Food,3,120,360,Card,Berhampur,3
68,2020-04-24,18:14:00,Coke,Beverage,3,50,150,Cash,Bhubaneswar,2
69,2021-07-10,17:37:00,Pizza,Fast Food,3,120,360,Cash,Berhampur,5
70,2024-08-22,12:23:00,Coke,Beverage,4,50,200,Card,Berhampur,3
71,2023-12-31,18:12:00,Pasta,Italian,2,250,500,Cash,Bhubaneswar,4
72,2023-11-22,21:16:00,Burger,Fast Food,1,350,350,Card,Bhubaneswar,5
73,2024-07-16,15:56:00,Pasta,Italian,4,250,1000,Card,Cuttack,1
74,2024-07-04,19:49:00,Burger,Fast Food,1,350,350,Online,Bhubaneswar,5
75,2021-08-10,12:41:00,Fries,Fast Food,5,80,400,Online,Berhampur,3
76,2021-09-19,10:32:00,Burger,Fast Food,5,350,1750,Cash,Cuttack,3
77,2020-02-02,18:15:00,Salad,Healthy,1,100,100,Cash,Cuttack,4
78,2024-07-06,10:04:00,Sandwich,Fast Food,1,150,150,Cash,Bhubaneswar,3
79,2020-02-22,14:42:00,Burger,Fast Food,2,350,700,Card,Cuttack,3
80,2022-10-28,19:33:00,Coke,Beverage,4,50,200,Online,Berhampur,1
81,2024-05-02,18:34:00,Pasta,Italian,3,250,750,Card,Berhampur,3
82,2023-07-28,20:41:00,Coke,Beverage,1,50,50,Card,Berhampur,1
83,2020-08-10,14:28:00,Salad,Healthy,5,100,500,Cash,Bhubaneswar,4
84,2020-12-01,17:21:00,Fries,Fast Food,3,80,240,Cash,Bhubaneswar,2
85,2021-06-23,18:22:00,Coke,Beverage,1,50,50,Online,Berhampur,3
86,2023-10-30,17:07:00,Fries,Fast Food,2,80,160,Online,Cuttack,2
87,2023-09-24,12:00:00,Fries,Fast Food,1,80,80,Card,Cuttack,5
88,2023-02-03,19:45:00,Pizza,Fast Food,4,120,480,Cash,Cuttack,2
89,2024-01-23,10:38:00,Fries,Fast Food,1,80,80,Card,Berhampur,5
90,2022-10-07,22:30:00,Salad,Healthy,5,100,500,Cash,Berhampur,2
91,2023-07-28,12:11:00,Pasta,Italian,1,250,250,Online,Cuttack,3
92,2024-04-02,21:51:00,Fries,Fast Food,4,80,320,Cash,Berhampur,5
93,2024-06-06,20:22:00,Sandwich,Fast Food,3,150,450,Online,Bhubaneswar,3
94,2024-03-13,10:47:00,Sandwich,Fast Food,3,150,450,Card,Berhampur,5
95,2020-08-31,11:48:00,Pasta,Italian,5,250,1250,Online,Cuttack,3
96,2023-08-25,11:31:00,Sandwich,Fast Food,3,150,450,Online,Bhubaneswar,2
97,2020-10-11,12:50:00,Fries,Fast Food,4,80,320,Cash,Bhubaneswar,5
98,2020-03-28,14:24:00,Pizza,Fast Food,3,120,360,Cash,Berhampur,2
99,2024-10-11,20:59:00,Burger,Fast Food,5,350,1750,Online,Bhubaneswar,4
100,2022-12-24,19:35:00,Salad,Healthy,4,100,400,Card,Berhampur,3
101,2022-04-01,14:22:00,Icecream,Dessert,4,70,280,Online,Bhubaneswar,1
102,2022-11-21,13:19:00,Salad,Healthy,4,100,400,Online,Cuttack,4
103,2023-07-11,11:56:00,Icecream,Dessert,3,70,210,Online,Bhubaneswar,5
104,2023-12-25,17:38:00,Salad,Healthy,1,100,100,Cash,Bhubaneswar,5
105,2022-06-26,18:48:00,Coke,Beverage,2,50,100,Cash,Cuttack,4
106,2024-05-31,13:09:00,Sandwich,Fast Food,1,150,150,Cash,Berhampur,3
107,2022-09-06,16:50:00,Fries,Fast Food,2,80,160,Card,Berhampur,1
108,2022-11-30,15:03:00,Sandwich,Fast Food,5,150,750,Cash,Berhampur,2
109,2020-03-07,12:01:00,Coke,Beverage,3,50,150,Cash,Cuttack,4
110,2023-04-06,12:09:00,Pizza,Fast Food,5,120,600,Cash,Berhampur,5
111,2021-08-16,15:02:00,Pasta,Italian,5,250,1250,Cash,Berhampur,3
112,2022-06-09,11:31:00,Pasta,Italian,5,250,1250,Card,Cuttack,4
113,2021-02-04,10:50:00,Sandwich,Fast Food,5,150,750,Card,Berhampur,3
114,2021-05-19,17:17:00,Fries,Fast Food,1,80,80,Online,Bhubaneswar,3
115,2020-03-12,16:49:00,Icecream,Dessert,3,70,210,Card,Berhampur,4
116,2022-06-16,19:54:00,Icecream,Dessert,4,70,280,Online,Bhubaneswar,5
117,2021-10-22,19:15:00,Icecream,Dessert,4,70,280,Online,Bhubaneswar,1
118,2021-06-09,12:41:00,Salad,Healthy,4,100,400,Cash,Bhubaneswar,5
119,2022-12-02,18:40:00,Burger,Fast Food,2,350,700,Online,Cuttack,3
120,2024-08-23,13:57:00,Pasta,Italian,4,250,1000,Card,Bhubaneswar,3
121,2022-11-15,19:58:00,Pasta,Italian,5,250,1250,Cash,Cuttack,2
122,2021-06-17,10:36:00,Fries,Fast Food,2,80,160,Cash,Berhampur,5
123,2021-08-16,13:38:00,Pizza,Fast Food,1,120,120,Card,Berhampur,2
124,2024-05-18,13:37:00,Salad,Healthy,3,100,300,Cash,Bhubaneswar,2
125,2023-04-02,16:17:00,Icecream,Dessert,1,70,70,Online,Bhubaneswar,4
126,2020-07-07,20:23:00,Pasta,Italian,1,250,250,Card,Bhubaneswar,2
127,2020-08-11,11:36:00,Pizza,Fast Food,3,120,360,Cash,Berhampur,5
128,2020-09-05,22:56:00,Salad,Healthy,3,100,300,Online,Berhampur,4
129,2021-12-11,21:40:00,Burger,Fast Food,5,350,1750,Card,Cuttack,1
130,2020-09-23,11:54:00,Icecream,Dessert,3,70,210,Online,Berhampur,2
131,2021-09-10,14:58:00,Fries,Fast Food,4,80,320,Card,Cuttack,4
132,2022-01-23,16:27:00,Icecream,Dessert,5,70,350,Cash,Berhampur,2
133,2020-09-22,17:27:00,Salad,Healthy,3,100,300,Cash,Berhampur,3
134,2022-09-17,20:07:00,Salad,Healthy,5,100,500,Online,Bhubaneswar,2
135,2021-07-13,19:26:00,Burger,Fast Food,4,350,1400,Card,Berhampur,5
136,2020-01-21,22:37:00,Burger,Fast Food,5,350,1750,Cash,Cuttack,1
137,2024-02-03,13:35:00,Sandwich,Fast Food,1,150,150,Online,Cuttack,1
138,2024-07-18,20:01:00,Sandwich,Fast Food,2,150,300,Card,Cuttack,2
139,2024-11-18,21:03:00,Sandwich,Fast Food,2,150,300,Card,Bhubaneswar,5
140,2023-05-26,13:48:00,Salad,Healthy,3,100,300,Cash,Berhampur,5
141,2023-03-23,10:37:00,Burger,Fast Food,4,350,1400,Cash,Berhampur,2
142,2021-05-05,22:28:00,Sandwich,Fast Food,4,150,600,Online,Cuttack,5
143,2024-06-08,19:48:00,Coke,Beverage,3,50,150,Card,Bhubaneswar,2
144,2024-02-01,18:50:00,Pizza,Fast Food,2,120,240,Cash,Berhampur,2
145,2022-06-19,12:00:00,Burger,Fast Food,5,350,1750,Cash,Berhampur,3
146,2020-01-30,12:53:00,Pizza,Fast Food,1,120,120,Cash,Bhubaneswar,5
147,2024-07-03,10:55:00,Salad,Healthy,4,100,400,Cash,Berhampur,5
148,2024-04-01,16:32:00,Coke,Beverage,5,50,250,Online,Bhubaneswar,4
149,2020-05-01,15:19:00,Sandwich,Fast Food,5,150,750,Online,Cuttack,5
150,2023-04-25,11:14:00,Pasta,Italian,3,250,750,Card,Bhubaneswar,3
151,2024-12-07,13:52:00,Coke,Beverage,3,50,150,Online,Berhampur,5
152,2024-08-24,17:23:00,Icecream,Dessert,1,70,70,Card,Berhampur,5
153,2021-01-07,21:11:00,Fries,Fast Food,5,80,400,Online,Berhampur,2
154,2021-06-09,15:04:00,Icecream,Dessert,3,70,210,Cash,Cuttack,4
155,2021-09-26,16:12:00,Fries,Fast Food,4,80,320,Online,Bhubaneswar,1
156,2023-06-02,11:25:00,Coke,Beverage,1,50,50,Card,Bhubaneswar,5
157,2022-08-05,16:48:00,Fries,Fast Food,5,80,400,Online,Bhubaneswar,3
158,2024-01-14,10:38:00,Sandwich,Fast Food,5,150,750,Cash,Bhubaneswar,5
159,2021-09-01,18:29:00,Icecream,Dessert,2,70,140,Online,Berhampur,5
160,2022-05-24,21:13:00,Burger,Fast Food,3,350,1050,Cash,Cuttack,4
161,2024-08-17,18:11:00,Salad,Healthy,2,100,200,Online,Bhubaneswar,2
162,2022-12-28,16:09:00,Burger,Fast Food,4,350,1400,Online,Cuttack,3
163,2022-03-09,12:38:00,Coke,Beverage,5,50,250,Online,Bhubaneswar,1
164,2022-02-02,10:54:00,Icecream,Dessert,1,70,70,Cash,Berhampur,1
165,2023-08-11,11:53:00,Sandwich,Fast Food,2,150,300,Card,Cuttack,2
166,2022-06-03,19:12:00,Fries,Fast Food,5,80,400,Card,Berhampur,4
167,2022-08-27,18:36:00,Pizza,Fast Food,4,120,480,Online,Berhampur,3
168,2024-01-25,20:58:00,Burger,Fast Food,4,350,1400,Cash,Bhubaneswar,3
169,2021-12-25,18:20:00,Salad,Healthy,5,100,500,Cash,Cuttack,2
170,2022-12-10,11:54:00,Burger,Fast Food,4,350,1400,Cash,Cuttack,3
171,2021-11-29,21:40:00,Sandwich,Fast Food,1,150,150,Online,Bhubaneswar,3
172,2020-02-07,15:17:00,Salad,Healthy,5,100,500,Cash,Cuttack,4
173,2024-08-31,22:05:00,Burger,Fast Food,3,350,1050,Card,Cuttack,2
174,2024-06-16,15:10:00,Icecream,Dessert,5,70,350,Card,Bhubaneswar,2
175,2024-03-04,20:37:00,Sandwich,Fast Food,1,150,150,Cash,Bhubaneswar,2
176,2022-10-03,17:47:00,Fries,Fast Food,5,80,400,Cash,Cuttack,2
177,2024-02-07,21:32:00,Burger,Fast Food,1,350,350,Online,Berhampur,2
178,2023-09-18,21:03:00,Fries,Fast Food,3,80,240,Card,Cuttack,4
179,2023-07-29,13:28:00,Icecream,Dessert,5,70,350,Card,Berhampur,2
180,2020-03-17,22:05:00,Salad,Healthy,4,100,400,Online,Cuttack,3
181,2023-11-25,20:25:00,Pasta,Italian,4,250,1000,Card,Berhampur,2
182,2024-05-27,10:43:00,Salad,Healthy,2,100,200,Cash,Berhampur,4
183,2023-01-29,12:29:00,Coke,Beverage,5,50,250,Card,Bhubaneswar,4
184,2022-05-20,16:33:00,Pasta,Italian,1,250,250,Card,Bhubaneswar,4
185,2022-02-17,15:56:00,Burger,Fast Food,5,350,1750,Online,Cuttack,2
186,2020-12-09,11:27:00,Pasta,Italian,4,250,1000,Online,Bhubaneswar,5
187,2020-05-09,12:47:00,Icecream,Dessert,5,70,350,Online,Cuttack,1
188,2023-01-02,20:38:00,Coke,Beverage,2,50,100,Cash,Berhampur,2
189,2023-04-29,12:33:00,Fries,Fast Food,1,80,80,Online,Berhampur,1
190,2020-12-29,13:30:00,Salad,Healthy,5,100,500,Cash,Bhubaneswar,4
191,2021-02-15,18:41:00,Burger,Fast Food,3,350,1050,Cash,Cuttack,1
192,2022-01-26,19:59:00,Pasta,Italian,1,250,250,Cash,Bhubaneswar,5
193,2024-07-28,15:36:00,Sandwich,Fast Food,2,150,300,Online,Berhampur,2
194,2024-09-05,10:47:00,Fries,Fast Food,1,80,80,Cash,Bhubaneswar,5
195,2021-10-03,11:25:00,Pizza,Fast Food,4,120,480,Cash,Bhubaneswar,1
196,2021-07-11,17:16:00,Pasta,Italian,4,250,1000,Online,Bhubaneswar,1
197,2020-04-09,10:43:00,Fries,Fast Food,5,80,400,Card,Berhampur,3
198,2023-12-03,22:50:00,Salad,Healthy,1,100,100,Online,Berhampur,1
199,2023-11-13,17:39:00,Pasta,Italian,3,250,750,Card,Bhubaneswar,2
200,2022-10-03,21:59:00,Coke,Beverage,2,50,100,Card,Bhubaneswar,2
201,2024-08-23,10:33:00,Fries,Fast Food,1,80,80,Online,Bhubaneswar,5
202,2023-06-16,14:30:00,Sandwich,Fast Food,1,150,150,Online,Cuttack,3
203,2021-09-19,17:05:00,Pasta,Italian,5,250,1250,Online,Bhubaneswar,2
204,2020-09-14,18:36:00,Salad,Healthy,1,100,100,Cash,Bhubaneswar,2
205,2020-12-18,13:08:00,Icecream,Dessert,3,70,210,Online,Berhampur,5
206,2024-08-28,14:22:00,Pasta,Italian,5,250,1250,Card,Bhubaneswar,1
207,2022-12-28,12:37:00,Sandwich,Fast Food,4,150,600,Card,Berhampur,2
208,2020-01-22,20:26:00,Pasta,Italian,1,250,250,Card,Bhubaneswar,4
209,2024-09-04,21:25:00,Salad,Healthy,3,100,300,Cash,Cuttack,2
210,2022-01-16,10:23:00,Burger,Fast Food,4,350,1400,Online,Berhampur,3
211,2024-08-15,13:11:00,Icecream,Dessert,5,70,350,Card,Bhubaneswar,1
212,2022-08-10,13:03:00,Fries,Fast Food,4,80,320,Cash,Berhampur,2
213,2022-07-08,14:05:00,Fries,Fast Food,2,80,160,Online,Berhampur,5
214,2024-09-15,11:13:00,Pasta,Italian,2,250,500,Online,Cuttack,4
215,2023-03-08,11:21:00,Pizza,Fast Food,2,120,240,Online,Cuttack,1
216,2021-06-24,21:30:00,Sandwich,Fast Food,1,150,150,Online,Bhubaneswar,3
217,2023-07-06,11:56:00,Fries,Fast Food,2,80,160,Cash,Bhubaneswar,3
218,2021-07-06,12:23:00,Pizza,Fast Food,3,120,360,Cash,Berhampur,1
219,2024-10-17,21:08:00,Salad,Healthy,3,100,300,Card,Cuttack,4
220,2022-12-16,19:00:00,Fries,Fast Food,4,80,320,Online,Cuttack,4
221,2024-08-11,19:32:00,Pasta,Italian,5,250,1250,Cash,Cuttack,1
222,2024-01-15,21:12:00,Pizza,Fast Food,5,120,600,Card,Cuttack,4
223,2022-07-08,20:19:00,Burger,Fast Food,5,350,1750,Card,Bhubaneswar,3
224,2024-08-15,10:24:00,Burger,Fast Food,1,350,350,Online,Bhubaneswar,4
225,2022-01-11,11:13:00,Salad,Healthy,5,100,500,Cash,Berhampur,5
226,2020-01-19,15:51:00,Fries,Fast Food,4,80,320,Online,Berhampur,2
227,2022-12-02,22:25:00,Salad,Healthy,3,100,300,Cash,Bhubaneswar,3
228,2022-08-16,20:42:00,Pasta,Italian,4,250,1000,Card,Berhampur,4
229,2021-06-01,18:50:00,Coke,Beverage,1,50,50,Card,Bhubaneswar,3
230,2022-12-29,13:57:00,Pizza,Fast Food,3,120,360,Cash,Cuttack,4
231,2024-09-26,12:36:00,Sandwich,Fast Food,1,150,150,Card,Berhampur,3
232,2020-11-12,21:04:00,Icecream,Dessert,2,70,140,Cash,Bhubaneswar,2
233,2024-04-11,19:54:00,Fries,Fast Food,2,80,160,Online,Bhubaneswar,4
234,2021-02-20,22:20:00,Salad,Healthy,1,100,100,Card,Cuttack,3
235,2021-12-13,19:45:00,Salad,Healthy,2,100,200,Online,Bhubaneswar,1
236,2020-11-04,18:55:00,Coke,Beverage,1,50,50,Cash,Cuttack,4
237,2024-06-22,14:10:00,Burger,Fast Food,5,350,1750,Online,Cuttack,4
238,2023-10-10,18:54:00,Fries,Fast Food,2,80,160,Card,Berhampur,5
239,2020-03-02,13:50:00,Coke,Beverage,1,50,50,Card,Berhampur,1
240,2022-04-04,16:16:00,Coke,Beverage,5,50,250,Cash,Berhampur,2
241,2020-07-19,17:28:00,Icecream,Dessert,2,70,140,Card,Bhubaneswar,1
242,2023-11-05,15:13:00,Sandwich,Fast Food,1,150,150,Cash,Bhubaneswar,5
243,2020-01-16,15:35:00,Pizza,Fast Food,2,120,240,Online,Berhampur,2
244,2021-11-20,19:53:00,Coke,Beverage,3,50,150,Online,Cuttack,4
245,2023-03-26,20:32:00,Burger,Fast Food,3,350,1050,Cash,Berhampur,1
246,2024-07-15,15:17:00,Sandwich,Fast Food,4,150,600,Cash,Berhampur,5
247,2020-02-04,17:09:00,Fries,Fast Food,4,80,320,Card,Cuttack,4
248,2024-10-13,16:37:00,Sandwich,Fast Food,3,150,450,Online,Cuttack,1
249,2023-10-25,12:40:00,Sandwich,Fast Food,4,150,600,Online,Berhampur,4
250,2024-06-24,15:50:00,Coke,Beverage,3,50,150,Online,Bhubaneswar,5
251,2023-08-13,10:35:00,Burger,Fast Food,4,350,1400,Cash,Berhampur,1
252,2024-02-24,22:58:00,Pasta,Italian,5,250,1250,Cash,Berhampur,4
253,2021-02-22,13:20:00,Coke,Beverage,3,50,150,Online,Cuttack,4
254,2024-10-21,13:58:00,Sandwich,Fast Food,5,150,750,Online,Berhampur,1
255,2022-10-10,12:47:00,Burger,Fast Food,2,350,700,Cash,Cuttack,4
256,2021-04-08,18:55:00,Coke,Beverage,2,50,100,Online,Bhubaneswar,2
257,2021-05-13,15:39:00,Pasta,Italian,4,250,1000,Cash,Bhubaneswar,4
258,2022-07-22,21:59:00,Salad,Healthy,4,100,400,Cash,Cuttack,2
259,2023-12-30,12:11:00,Burger,Fast Food,1,350,350,Card,Berhampur,3
260,2021-09-04,14:35:00,Icecream,Dessert,1,70,70,Card,Berhampur,4
261,2022-03-15,13:13:00,Pasta,Italian,3,250,750,Cash,Berhampur,4
262,2020-06-03,18:40:00,Salad,Healthy,5,100,500,Online,Cuttack,3
263,2020-03-14,16:18:00,Fries,Fast Food,1,80,80,Online,Bhubaneswar,5
264,2020-04-15,19:34:00,Salad,Healthy,4,100,400,Card,Berhampur,3
265,2020-09-26,15:38:00,Pizza,Fast Food,1,120,120,Online,Bhubaneswar,1
266,2024-07-26,22:13:00,Sandwich,Fast Food,4,150,600,Cash,Cuttack,3
267,2020-06-25,21:09:00,Icecream,Dessert,4,70,280,Cash,Cuttack,3
268,2024-02-03,14:07:00,Sandwich,Fast Food,2,150,300,Online,Berhampur,1
269,2024-05-19,16:13:00,Burger,Fast Food,1,350,350,Card,Berhampur,1
270,2021-07-26,15:11:00,Icecream,Dessert,2,70,140,Cash,Bhubaneswar,3
271,2022-10-07,17:27:00,Pizza,Fast Food,5,120,600,Card,Berhampur,4
272,2024-06-28,10:22:00,Pizza,Fast Food,4,120,480,Card,Bhubaneswar,2
273,2023-04-10,11:55:00,Salad,Healthy,1,100,100,Cash,Berhampur,3
274,2022-10-30,11:58:00,Sandwich,Fast Food,1,150,150,Card,Bhubaneswar,1
275,2020-08-12,21:34:00,Burger,Fast Food,2,350,700,Cash,Berhampur,1
276,2022-06-05,21:08:00,Sandwich,Fast Food,4,150,600,Card,Bhubaneswar,1
277,2021-11-23,18:16:00,Pizza,Fast Food,3,120,360,Cash,Bhubaneswar,3
278,2022-07-29,17:40:00,Salad,Healthy,2,100,200,Card,Bhubaneswar,1
279,2020-05-23,16:17:00,Coke,Beverage,3,50,150,Card,Berhampur,1
280,2021-03-22,18:46:00,Salad,Healthy,4,100,400,Cash,Bhubaneswar,1
281,2021-09-05,17:12:00,Sandwich,Fast Food,4,150,600,Card,Bhubaneswar,1
282,2023-04-28,20:46:00,Pasta,Italian,5,250,1250,Card,Berhampur,1
283,2022-07-08,19:43:00,Salad,Healthy,4,100,400,Cash,Berhampur,1
284,2020-08-20,17:38:00,Coke,Beverage,2,50,100,Cash,Cuttack,5
285,2020-08-07,13:56:00,Coke,Beverage,5,50,250,Cash,Cuttack,5
286,2023-01-21,11:26:00,Coke,Beverage,4,50,200,Card,Berhampur,2
287,2023-06-08,10:51:00,Burger,Fast Food,1,350,350,Cash,Bhubaneswar,3
288,2020-04-19,18:51:00,Salad,Healthy,4,100,400,Cash,Berhampur,1
289,2020-08-03,11:22:00,Coke,Beverage,3,50,150,Online,Berhampur,4
290,2021-05-22,16:10:00,Coke,Beverage,1,50,50,Card,Berhampur,2
291,2021-02-08,16:58:00,Salad,Healthy,5,100,500,Card,Cuttack,2
292,2022-07-09,12:43:00,Sandwich,Fast Food,3,150,450,Online,Berhampur,3
293,2023-01-30,11:48:00,Sandwich,Fast Food,1,150,150,Card,Cuttack,3
294,2024-12-02,20:39:00,Burger,Fast Food,5,350,1750,Card,Bhubaneswar,1
295,2020-04-01,21:48:00,Burger,Fast Food,1,350,350,Cash,Berhampur,4
296,2023-03-02,10:59:00,Salad,Healthy,5,100,500,Online,Bhubaneswar,2
297,2023-08-23,17:09:00,Fries,Fast Food,1,80,80,Cash,Cuttack,3
298,2021-05-29,13:21:00,Burger,Fast Food,1,350,350,Cash,Berhampur,1
299,2021-09-12,15:38:00,Salad,Healthy,4,100,400,Online,Berhampur,3
300,2024-09-29,20:30:00,Burger,Fast Food,3,350,1050,Card,Berhampur,5
301,2022-11-28,13:25:00,Pasta,Italian,2,250,500,Cash,Bhubaneswar,4
302,2022-12-24,17:42:00,Pizza,Fast Food,1,120,120,Online,Bhubaneswar,2
303,2022-05-03,12:57:00,Salad,Healthy,4,100,400,Online,Cuttack,3
304,2024-05-05,22:57:00,Pizza,Fast Food,2,120,240,Online,Bhubaneswar,1
305,2021-07-17,15:12:00,Pizza,Fast Food,4,120,480,Card,Bhubaneswar,5
306,2021-10-04,20:28:00,Sandwich,Fast Food,4,150,600,Online,Bhubaneswar,2
307,2023-04-30,16:53:00,Pasta,Italian,2,250,500,Cash,Berhampur,2
308,2024-12-11,11:33:00,Sandwich,Fast Food,4,150,600,Cash,Bhubaneswar,5
309,2023-06-03,19:35:00,Fries,Fast Food,1,80,80,Online,Cuttack,3
310,2023-04-19,16:44:00,Pasta,Italian,3,250,750,Cash,Cuttack,4
311,2022-12-31,19:36:00,Burger,Fast Food,3,350,1050,Online,Cuttack,2
312,2024-03-09,13:00:00,Burger,Fast Food,4,350,1400,Cash,Berhampur,1
313,2023-08-25,22:52:00,Icecream,Dessert,3,70,210,Cash,Bhubaneswar,4
314,2024-01-26,20:31:00,Pasta,Italian,2,250,500,Online,Bhubaneswar,3
315,2022-06-14,21:43:00,Icecream,Dessert,2,70,140,Card,Berhampur,1
316,2021-12-24,15:12:00,Burger,Fast Food,2,350,700,Online,Berhampur,2
317,2023-08-30,18:57:00,Icecream,Dessert,1,70,70,Online,Berhampur,1
318,2024-01-21,17:35:00,Sandwich,Fast Food,3,150,450,Cash,Bhubaneswar,3
319,2020-08-01,16:26:00,Pizza,Fast Food,1,120,120,Card,Berhampur,5
